,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
3947,Namibia,NAM,2017,8,3,1,3,1,1,9542.0,,0.48
3975,Nepal,NPL,2017,724,276,182,120,84,62,2443.0,,0.12
4003,Netherlands,NLD,2017,0,0,0,0,0,0,48473.0,,0.0
4031,New Zealand,NZL,2017,0,0,0,0,0,0,36086.0,,0.0
4059,Nicaragua,NIC,2017,3,0,0,1,0,1,5321.0,,0.27
4087,Niger,NER,2017,30485,20620,2402,3237,2761,1465,926.0,,21.36
4115,Nigeria,NGA,2017,152240,104085,10307,18195,13253,6400,5338.0,,12.98
4143,North Africa and Middle East,,2017,3814,1077,279,2018,313,128,,,0.29
4171,North America,,2017,0,0,0,0,0,0,53192.0,,0.0
4199,North Korea,PRK,2017,3,0,0,1,1,0,,,0.13
4227,Northern Ireland,,2017,0,0,0,0,0,0,,,0.0
4255,Northern Mariana Islands,MNP,2017,0,0,0,0,0,0,,,0.0
4283,Norway,NOR,2017,0,0,0,0,0,0,64800.0,,0.0
4311,Oceania,,2017,645,79,28,357,158,23,,,3.78
4339,Oman,OMN,2017,0,0,0,0,0,0,37961.0,,0.0
4367,Pakistan,PAK,2017,4999,1060,2210,894,456,379,5035.0,,1.03
4395,Palestine,PSE,2017,0,0,0,0,0,0,4450.0,,0.0
4423,Panama,PAN,2017,0,0,0,0,0,0,22267.0,,0.12
4451,Papua New Guinea,PNG,2017,606,75,26,337,148,21,3823.0,,4.52
4479,Paraguay,PRY,2017,0,0,0,0,0,0,8827.0,,0.0
4507,Peru,PER,2017,6,0,0,3,1,2,12237.0,,0.36
4535,Philippines,PHL,2017,101,6,4,54,24,13,7599.0,,0.1
4563,Poland,POL,2017,0,0,0,0,0,0,27216.0,,0.0
4591,Portugal,PRT,2017,0,0,0,0,0,0,27937.0,,0.0
4619,Puerto Rico,PRI,2017,0,0,0,0,0,0,,,0.0
4647,Qatar,QAT,2017,0,0,0,0,0,0,116936.0,,0.0
4675,Romania,ROU,2017,0,0,0,0,0,0,23313.0,,0.0
4703,Russia,RUS,2017,0,0,0,0,0,0,24766.0,,0.0
4731,Rwanda,RWA,2017,3052,1087,177,908,682,199,1854.0,,2.57
4759,Saint Lucia,LCA,2017,0,0,0,0,0,0,12952.0,,0.0
4787,Saint Vincent and the Grenadines,VCT,2017,0,0,0,0,0,0,10727.0,,0.0
4815,Samoa,WSM,2017,0,0,0,0,0,0,6022.0,,0.0
4843,Sao Tome and Principe,STP,2017,0,0,0,0,0,0,3053.0,,0.63
4871,Saudi Arabia,SAU,2017,16,0,0,11,3,2,49045.0,,0.0
4899,Scotland,,2017,0,0,0,0,0,0,,,0.0
4927,Senegal,SEN,2017,2146,631,126,611,529,249,2471.0,,1.74
4955,Serbia,SRB,2017,0,0,0,0,0,0,14049.0,,0.0
4983,Seychelles,SYC,2017,0,0,0,0,0,0,26382.0,,0.0
5011,Sierra Leone,SLE,2017,11119,7432,845,1431,894,518,1390.0,,28.1
5039,Singapore,SGP,2017,0,0,0,0,0,0,85535.0,,0.0
5067,Slovakia,SVK,2017,0,0,0,0,0,0,30155.0,,0.0
5095,Slovenia,SVN,2017,0,0,0,0,0,0,31401.0,,0.0
5123,Solomon Islands,SLB,2017,2,0,0,1,1,1,2206.0,,4.88
5151,Somalia,SOM,2017,1155,427,97,409,183,39,,,1.67
5179,South Africa,ZAF,2017,68,5,6,37,14,5,12295.0,,0.01
5207,South Asia,,2017,58728,24343,14082,9866,6384,4053,5915.0,,0.55
5235,South Korea,KOR,2017,2,0,0,1,0,1,35938.0,,0.02
5263,South Sudan,SSD,2017,3863,2388,344,672,364,95,,,10.89
5291,Southeast Asia,,2017,13029,1011,615,6020,3220,2162,,,0.24
5319,"Southeast Asia, East Asia, and Oceania",,2017,13782,1091,645,6423,3403,2220,,,0.12
5347,Southern Latin America,,2017,0,0,0,0,0,0,,,0.0
5375,Southern Sub-Saharan Africa,,2017,772,409,146,143,49,24,,,0.3
5403,Spain,ESP,2017,0,0,0,0,0,0,34272.0,,0.0
5431,Sri Lanka,LKA,2017,0,0,0,0,0,0,11669.0,,0.0
5459,Sub-Saharan Africa,,2017,543289,327762,39322,90555,61100,24549,3467.0,,11.01
5487,Sudan,SDN,2017,2552,937,228,1072,222,92,4467.0,,2.42
5515,Suriname,SUR,2017,3,0,0,2,1,0,13767.0,,0.11
5543,Swaziland,SWZ,2017,5,2,0,2,1,0,7739.0,,0.02
5571,Sweden,SWE,2017,0,0,0,0,0,0,46949.0,,0.0
5599,Switzerland,CHE,2017,0,0,0,0,0,0,57410.0,,0.0
5627,Syria,SYR,2017,0,0,0,0,0,0,,,0.0
5655,Taiwan,TWN,2017,0,0,0,0,0,0,,,0.0
5683,Tajikistan,TJK,2017,0,0,0,0,0,0,2897.0,,0.0
5711,Tanzania,TZA,2017,15325,8478,995,3149,1985,719,2683.0,,6.85
5739,Thailand,THA,2017,31,1,1,14,7,8,16278.0,,0.08
5767,Timor,TLS,2017,2,0,0,1,0,0,6570.0,,0.04
5795,Togo,TGO,2017,6904,3177,511,1477,1177,562,1430.0,,30.81
5823,Tonga,TON,2017,0,0,0,0,0,0,5426.0,,0.0
5851,Trinidad and Tobago,TTO,2017,0,0,0,0,0,0,28763.0,,0.0
5879,Tropical Latin America,,2017,58,4,4,30,12,10,,,0.08
5907,Tunisia,TUN,2017,0,0,0,0,0,0,10849.0,,0.0
5935,Turkey,TUR,2017,0,0,0,0,0,0,25129.0,,0.0
5963,Turkmenistan,TKM,2017,0,0,0,0,0,0,16389.0,,0.0
5991,Uganda,UGA,2017,22237,13926,1684,3952,1994,681,1698.0,,19.23
6019,Ukraine,UKR,2017,0,0,0,0,0,0,7894.0,,0.0
6047,United Arab Emirates,ARE,2017,0,0,0,0,0,0,67293.0,,0.0
6075,United Kingdom,GBR,2017,0,0,0,0,0,0,39753.0,,0.0
6103,United States,USA,2017,0,0,0,0,0,0,54225.0,,0.0
6131,United States Virgin Islands,VIR,2017,0,0,0,0,0,0,,,0.0
6159,Uruguay,URY,2017,0,0,0,0,0,0,20551.0,,0.0
6187,Uzbekistan,UZB,2017,0,0,0,0,0,0,6253.0,,0.0
6215,Vanuatu,VUT,2017,1,0,0,0,0,0,2922.0,,0.98
6243,Venezuela,VEN,2017,16,1,1,9,3,2,,,0.94
6271,Vietnam,VNM,2017,1418,50,25,537,401,405,6172.0,,0.08
6299,Wales,,2017,0,0,0,0,0,0,,,0.0
6327,Western Europe,,2017,0,0,0,0,0,0,,,0.0
6355,Western Sub-Saharan Africa,,2017,347523,220405,24419,49204,36018,17477,,,14.53
6383,World,OWID_WRL,2017,619827,354294,54342,108969,71239,30982,15469.0,,1.95
6411,Yemen,YEM,2017,6,0,0,5,1,1,,,1.23
6439,Zambia,ZMB,2017,4673,2415,359,1148,572,178,3689.0,,11.19
6467,Zimbabwe,ZWE,2017,686,398,139,99,32,18,1900.0,,1.41
